matrix,P,T_block_median_ms,T_cyclic_ghost_nccl_acc_median_ms,speedup_block_over_cyclic,ghost_fraction_block,nnz_max_over_avg
ASIC_680k.mtx,1,0.077291,0.076942,0.9954845971717275,0.0,1.0
ASIC_680k.mtx,2,0.401686,0.423438,1.0541517503721813,0.5500628238209184,1.1972308293900495
ASIC_680k.mtx,3,0.321971,0.379527,1.1787614412478142,0.7961189910018551,1.4302757418887937
ASIC_680k.mtx,4,0.382659,0.448834,1.1729346493875747,0.8649647110453229,1.6097142058689908
amazon0302.mtx,1,0.044104,0.04412,1.0003627788862688,0.0,1.0
amazon0302.mtx,2,0.127759,0.201207,1.5748949193403203,0.30903738794398644,1.016311746028147
amazon0302.mtx,3,0.13411,0.191433,1.4274327044963089,0.5290019463724004,1.0186391033276998
amazon0302.mtx,4,0.158682,0.228814,1.4419656923910715,0.7200079785982327,1.0221584821808163
cage13.mtx,1,0.11774,0.117154,0.9950229318838117,0.0,1.0
cage13.mtx,2,0.19708,0.349454,1.7731581083823826,0.2501668911778749,1.1372103137936045
cage13.mtx,3,0.246015,0.349965,1.4225352112676057,0.6357325801116929,1.1809374165618558
cage13.mtx,4,0.234561,0.490988,2.0932209531848858,0.683531585528908,1.2222003991527064
cit-Patents.mtx,1,5.080033,4.679731,0.9212009055846685,0.0,1.0
cit-Patents.mtx,2,5.151418,3.112074,0.6041198753430609,0.4545002500815944,1.861112947386238
cit-Patents.mtx,3,2.075445,2.732673,1.316668473508091,0.7085577179842576,2.0870832694672807
cit-Patents.mtx,4,2.545458,5.2833865,2.0756133080962247,0.8998277510035054,2.2131167190549905
crankseg_2.mtx,1,0.196578,0.196701,1.0006257058266947,0.0,1.0
crankseg_2.mtx,2,0.204983,0.195916,0.9557670636101531,0.9842100316425952,1.1310966581189803
crankseg_2.mtx,3,0.172603,0.176811,1.0243796457767245,1.7417171874302515,1.1927041744287772
crankseg_2.mtx,4,0.180221,0.174985,0.9709467820065365,2.315163387233985,1.2441804137125414
parabolic_fem.mtx,1,0.080447,0.080267,0.9977625020199634,0.0,1.0
parabolic_fem.mtx,2,0.369903,0.369046,0.9976831764002996,1.0000000000072333,1.0000002721366126
parabolic_fem.mtx,3,0.358291,0.373068,1.0412430119651344,1.854352683877716,1.001673640167364
parabolic_fem.mtx,4,0.815909,0.54224,0.6645839180594896,2.4972633485096716,1.001671735211076
poisson3Da.mtx,1,0.026649,0.026762,1.0042403092048482,0.0,1.0
poisson3Da.mtx,2,0.079838,0.091595,1.1472607029234199,0.9942282077845197,1.1700126430851396
poisson3Da.mtx,3,0.081352,0.089637,1.1018413806667322,1.9602648428921488,1.3197424892703864
poisson3Da.mtx,4,0.083705,0.084111,1.0048503673615674,2.8838901936892634,1.4748754117506988
roadNet-CA.mtx,1,0.150846,0.151048,1.0013391140633492,0.0,1.0
roadNet-CA.mtx,2,0.14445,1.089581,7.542962962962963,0.007760436285150928,1.0079476412804564
roadNet-CA.mtx,3,0.117746,0.964256,8.189288808112376,0.010859942043441635,1.0252148208979446
roadNet-CA.mtx,4,0.115921,1.226173,10.577660648200068,0.01020909881993211,1.009927322529004
thermal2.mtx,1,0.185638,0.185556,0.9995582800935153,0.0,1.0
thermal2.mtx,2,0.276648,0.837613,3.0277211474509125,0.1465809994079947,1.0035081470804155
thermal2.mtx,3,0.195725,0.764029,3.9035841103589215,0.19813615417026853,1.0037581379607015
thermal2.mtx,4,0.234336,1.439,6.140755154991124,0.22869124554825981,1.0038095346871378
webbase-1M.mtx,1,0.070569,0.070442,0.9982003429267808,0.0,1.0
webbase-1M.mtx,2,0.110228,0.135506,1.229324672497006,0.013007927136416447,1.0714974806281428
webbase-1M.mtx,3,0.101474,0.138457,1.3644578906912115,0.03908780456097719,1.2502691966861759
webbase-1M.mtx,4,0.113103,0.445585,3.939639090032979,0.04611673508570324,1.3812971416206414
