matrix,P,T_fennel_median_ms,T_cyclic_ghost_nccl_acc_median_ms,speedup_fennel_over_cyclic,ghost_fraction_fennel
ASIC_680k.mtx,1,2.822331,0.076942,0.02726186262348392,0.0
ASIC_680k.mtx,2,1.026438,0.423438,0.4125314924038276,2.931273381769094
ASIC_680k.mtx,3,0.578085,0.379527,0.6565245595370923,5.842554767874873
ASIC_680k.mtx,4,0.508429,0.448834,0.8827859937179036,11.799624709582996
amazon0302.mtx,1,0.054001,0.04412,0.8170219070017222,0.0
amazon0302.mtx,2,0.122985,0.201207,1.6360287839980485,0.27270880303236944
amazon0302.mtx,3,0.110957,0.191433,1.725289977198374,0.39728764787676396
amazon0302.mtx,4,0.113426,0.228814,2.0172976213566556,0.4681141211486414
cage13.mtx,1,0.143855,0.117154,0.8143894894164262,0.0
cage13.mtx,2,0.251599,0.349454,1.3889323884435152,0.4917056811470938
cage13.mtx,3,0.209228,0.349965,1.6726489762364503,0.736614967200523
cage13.mtx,4,0.223647,0.490988,2.195370382790737,0.9769179639616647
cit-Patents.mtx,1,0.81282,4.679731,5.757401392682267,0.0
cit-Patents.mtx,2,0.909933,3.112074,3.420113349004817,0.3965143565219059
cit-Patents.mtx,3,1.010938,2.732673,2.7031064219566385,0.6224266280816924
cit-Patents.mtx,4,2.200965,5.2833865,2.4004863775662035,0.7710050529718807
crankseg_2.mtx,1,0.247468,0.196701,0.7948542841902791,0.0
crankseg_2.mtx,2,0.20653,0.195916,0.9486079504188254,0.46158067882424225
crankseg_2.mtx,3,0.166991,0.176811,1.0588055643717327,0.939784238268854
crankseg_2.mtx,4,0.156984,0.174985,1.114667736839423,0.8340138063016316
parabolic_fem.mtx,1,0.080547,0.080267,0.9965237687312999,0.0
parabolic_fem.mtx,2,0.264929,0.369046,1.3929996338641673,0.603792185126701
parabolic_fem.mtx,3,0.215889,0.373068,1.7280546947737032,0.9332666591205824
parabolic_fem.mtx,4,0.236343,0.54224,2.2942926170861844,1.079127622418756
poisson3Da.mtx,1,0.028055,0.026762,0.9539119586526467,0.0
poisson3Da.mtx,2,0.069224,0.091595,1.3231682653415,0.4713453232052428
poisson3Da.mtx,3,0.066355,0.089637,1.3508703187401099,0.7034505702280605
poisson3Da.mtx,4,0.068601,0.084111,1.226089998688066,0.8565292863814227
roadNet-CA.mtx,1,0.168563,0.151048,0.8960922622402306,0.0
roadNet-CA.mtx,2,0.50612,1.089581,2.152811586185094,0.353529282490916
roadNet-CA.mtx,3,0.36351,0.964256,2.652625787461143,0.49866578108504683
roadNet-CA.mtx,4,0.434383,1.226173,2.822792328429059,0.5757384907079942
thermal2.mtx,1,0.232826,0.185556,0.7969728466751995,0.0
thermal2.mtx,2,0.553372,0.837613,1.5136526604165013,0.5794942311318745
thermal2.mtx,3,0.432022,0.764029,1.7684955858729414,0.8729191842797968
thermal2.mtx,4,0.513211,1.439,2.8039149589545045,1.0474884662330501
webbase-1M.mtx,1,0.076129,0.070442,0.9252978497024787,0.0
webbase-1M.mtx,2,0.745774,0.135506,0.18169847701850692,0.01837335958888952
webbase-1M.mtx,3,0.837492,0.138457,0.165323370253089,0.03401080767458517
webbase-1M.mtx,4,0.718532,0.445585,0.6201324366903632,0.04243862339445596
