prototype,matrix,P,T_cyclic_acc_ms,T_cyclic_cusparse_ms,T_prototype_acc_ms,T_prototype_cusparse_ms
rcm,ASIC_680k.mtx,1,0.076942,0.077355,0.094538,0.087715
rcm,ASIC_680k.mtx,2,0.423438,0.4309,0.467862,0.462218
rcm,ASIC_680k.mtx,3,0.379527,0.380785,0.492395,0.477156
rcm,ASIC_680k.mtx,4,0.448834,0.413844,4.232009,0.724648
rcm,amazon0302.mtx,1,0.04412,0.05914,0.035867,0.049765
rcm,amazon0302.mtx,2,0.201207,0.226916,0.125439,0.136149
rcm,amazon0302.mtx,3,0.191433,0.199456,0.147736,0.146879
rcm,amazon0302.mtx,4,0.228814,0.237313,0.158447,0.164909
rcm,cage13.mtx,1,0.117154,0.117838,0.117811,0.118436
rcm,cage13.mtx,2,0.349454,0.349887,0.18433,0.186297
rcm,cage13.mtx,3,0.349965,0.350685,0.178809,0.17703
rcm,cage13.mtx,4,0.490988,0.426067,0.219979,0.224087
rcm,cit-Patents.mtx,1,4.679731,0.764041,0.462289,0.514734
rcm,cit-Patents.mtx,2,3.112074,0.941107,0.738586,0.77651
rcm,cit-Patents.mtx,3,2.732673,1.315816,1.606271,1.631855
rcm,cit-Patents.mtx,4,5.2833865,3.8748355,1.819946,2.046874
rcm,crankseg_2.mtx,1,0.196701,0.1638,0.20066,0.16303
rcm,crankseg_2.mtx,2,0.195916,0.175925,0.154322,0.134904
rcm,crankseg_2.mtx,3,0.176811,0.163834,0.142924,0.131479
rcm,crankseg_2.mtx,4,0.174985,0.166043,0.127279,0.120338
rcm,parabolic_fem.mtx,1,0.080267,0.079868,0.079834,0.075017
rcm,parabolic_fem.mtx,2,0.369046,0.372383,0.082743,0.085355
rcm,parabolic_fem.mtx,3,0.373068,0.380372,0.064406,0.078229
rcm,parabolic_fem.mtx,4,0.54224,0.587199,0.075613,0.073272
rcm,poisson3Da.mtx,1,0.026762,0.025732,0.017707,0.023792
rcm,poisson3Da.mtx,2,0.091595,0.075775,0.055667,0.057163
rcm,poisson3Da.mtx,3,0.089637,0.084102,0.057843,0.087742
rcm,poisson3Da.mtx,4,0.084111,0.079012,0.089938,0.065032
rcm,roadNet-CA.mtx,1,0.151048,0.143732,0.149679,0.144743
rcm,roadNet-CA.mtx,2,1.089581,1.092749,0.136948,0.128696
rcm,roadNet-CA.mtx,3,0.964256,0.971832,0.118979,0.138269
rcm,roadNet-CA.mtx,4,1.226173,1.051721,0.171731,0.122388
rcm,thermal2.mtx,1,0.185556,0.163511,0.171877,0.150226
rcm,thermal2.mtx,2,0.837613,0.834512,0.138205,0.119382
rcm,thermal2.mtx,3,0.764029,0.753342,0.111096,0.100224
rcm,thermal2.mtx,4,1.439,1.339,0.096708,0.092598
rcm,webbase-1M.mtx,1,0.070442,0.07588,0.073405,0.077286
rcm,webbase-1M.mtx,2,0.135506,0.141456,0.106618,0.107293
rcm,webbase-1M.mtx,3,0.138457,0.151337,0.109975,0.123496
rcm,webbase-1M.mtx,4,0.445585,0.174297,0.764182,0.13929
