matrix,P,T_rcm_median_ms,T_cyclic_ghost_nccl_acc_median_ms,speedup_rcm_over_cyclic,ghost_fraction_rcm
ASIC_680k.mtx,1,0.094538,0.076942,0.8138737862023736,0.0
ASIC_680k.mtx,2,0.467862,0.423438,0.9050489246829193,0.9092866082690929
ASIC_680k.mtx,3,0.492395,0.379527,0.7707775261730927,1.7312163738571134
ASIC_680k.mtx,4,4.232009,0.448834,0.10605695781837894,4.1495399971001845
amazon0302.mtx,1,0.035867,0.04412,1.2301000920065797,0.0
amazon0302.mtx,2,0.125439,0.201207,1.6040226723746205,0.3499374339792899
amazon0302.mtx,3,0.147736,0.191433,1.2957776032923591,0.6245956201571105
amazon0302.mtx,4,0.158447,0.228814,1.444104337728073,0.8529386239549475
cage13.mtx,1,0.117811,0.117154,0.9944232711716223,0.0
cage13.mtx,2,0.18433,0.349454,1.8958064341127325,0.26582595954289834
cage13.mtx,3,0.178809,0.349965,1.9572001409325035,0.49118633897892244
cage13.mtx,4,0.219979,0.490988,2.2319766886839196,0.6967004123211089
cit-Patents.mtx,1,0.462289,4.679731,10.122955553776967,0.0
cit-Patents.mtx,2,0.738586,3.112074,4.213556715128638,0.5530824810561294
cit-Patents.mtx,3,1.606271,2.732673,1.7012527773955952,0.9501314060691038
cit-Patents.mtx,4,1.819946,5.2833865,2.903045749709057,1.2639730691373026
crankseg_2.mtx,1,0.20066,0.196701,0.980270108641483,0.0
crankseg_2.mtx,2,0.154322,0.195916,1.2695273519005716,0.06435326644650294
crankseg_2.mtx,3,0.142924,0.176811,1.2370980381181607,0.24665840770239034
crankseg_2.mtx,4,0.127279,0.174985,1.37481438414821,0.2799698952990958
parabolic_fem.mtx,1,0.079834,0.080267,1.005423754290152,0.0
parabolic_fem.mtx,2,0.082743,0.369046,4.460147686209106,0.001955023059009591
parabolic_fem.mtx,3,0.064406,0.373068,5.7924416979784485,0.00391058783734532
parabolic_fem.mtx,4,0.075613,0.54224,7.17125362040919,0.005862354708222857
poisson3Da.mtx,1,0.017707,0.026762,1.511379680352403,0.0
poisson3Da.mtx,2,0.055667,0.091595,1.6454093089262938,0.25676738702607727
poisson3Da.mtx,3,0.057843,0.089637,1.5496602873294953,0.47099683686630645
poisson3Da.mtx,4,0.089938,0.084111,0.9352109230803443,0.6532702314511994
roadNet-CA.mtx,1,0.149679,0.151048,1.0091462396194522,0.0
roadNet-CA.mtx,2,0.136948,1.089581,7.956165843969974,0.003753827180521899
roadNet-CA.mtx,3,0.118979,0.964256,8.104421788719018,0.009729111980259336
roadNet-CA.mtx,4,0.171731,1.226173,7.140079543006213,0.013854538821588897
thermal2.mtx,1,0.171877,0.185556,1.0795859829994705,0.0
thermal2.mtx,2,0.138205,0.837613,6.060656271480772,0.001004821804315585
thermal2.mtx,3,0.111096,0.764029,6.877196298696623,0.002015818174577105
thermal2.mtx,4,0.096708,1.439,14.879844480291187,0.0030406217700441104
webbase-1M.mtx,1,0.073405,0.070442,0.9596349022546149,0.0
webbase-1M.mtx,2,0.106618,0.135506,1.2709486203080154,0.03324427418666896
webbase-1M.mtx,3,0.109975,0.138457,1.2589861332120935,0.06135513645681686
webbase-1M.mtx,4,0.764182,0.445585,0.5830875367386303,0.09270690433663578
