comm,kernel,P,T_median_ms,T_min_ms,T_max_ms,E_weak,mean_rank_effective_gflops,aggregate_gflops,T_cyclic_ghost_nccl_median_ms,speedup_vs_cyclic_ghost_nccl
block_nccl,acc,1,0.067378,0.067339,0.067424,1.0,44.525051,44.52491911306361,0.06588,0.9777672237228769
block_nccl,acc,2,0.15953,0.158917,0.159694,0.4223531624145928,18.9464105,37.61048078731273,0.158385,0.9928226665830878
block_nccl,acc,3,0.205953,0.203714,0.207039,0.32715231144969964,15.690965333333335,43.69929061484902,0.22901,1.1119527270785081
block_nccl,acc,4,0.342698,0.342672,0.397,0.19661042667304737,9.804153249999999,35.016253377609445,0.998627,2.914014671810165
block_nccl,cusparse,1,0.081507,0.081338,0.081715,1.0,36.80655,36.80665464315948,0.080142,0.9832529721373625
block_nccl,cusparse,2,0.168333,0.16689,0.17008,0.4842009588137798,17.9074615,35.643634937890965,0.168125,0.9987643539888197
block_nccl,cusparse,3,0.21652,0.215346,0.220011,0.37644097542952154,14.948299,41.56659892850545,0.238203,1.1001431738407539
block_nccl,cusparse,4,0.364182,0.362024,0.448042,0.22380842545760085,9.38286675,32.95055768818887,0.891599,2.4482236903526258
fennel_nccl,acc,1,0.066323,0.066277,0.066475,1.0,45.23345,45.23317702757716,0.06588,0.9933205675255945
fennel_nccl,acc,2,0.198291,0.196009,0.199661,0.3344730724036895,15.2322175,30.258559389987447,0.158385,0.7987503214971935
fennel_nccl,acc,3,0.229587,0.229046,0.23066,0.2888795968412845,13.618862666666667,39.200825830730835,0.22901,0.9974867914995186
fennel_nccl,acc,4,0.362863,0.355731,0.362987,0.1827769709229103,9.002479000000001,33.0703323292813,0.998627,2.752077230249433
fennel_nccl,cusparse,1,0.080369,0.080097,0.080744,1.0,37.327904,37.327825405317974,0.080142,0.9971755278776644
fennel_nccl,cusparse,2,0.209037,0.208379,0.213058,0.3844726053282433,14.468145499999999,28.703052569640782,0.168125,0.8042834522118094
fennel_nccl,cusparse,3,0.238322,0.23785,0.247456,0.3372286234590176,12.953075,37.764033534461774,0.238203,0.9995006755565998
fennel_nccl,cusparse,4,0.372195,0.371044,0.375573,0.21593250849689005,8.72128875,32.24116390601701,0.891599,2.395515791453405
rcm_nccl,acc,1,0.063865,0.063664,0.064004,1.0,46.97443,46.974085962577306,0.06588,1.0315509277381976
rcm_nccl,acc,2,0.154834,0.154726,0.155606,0.4124740044176344,19.4144645,38.751178681684905,0.158385,1.022934239249777
rcm_nccl,acc,3,0.226372,0.2208,0.240984,0.2821241142897532,14.910246333333333,39.757567190288555,0.22901,1.0116533846942202
rcm_nccl,acc,4,0.446413,0.434463,0.456639,0.14306259002314,7.4312137499999995,26.880937607103736,0.998627,2.237002506647432
rcm_nccl,cusparse,1,0.077839,0.077751,0.077949,1.0,38.541024,38.54109122676293,0.080142,1.029586711031745
rcm_nccl,cusparse,2,0.167342,0.165535,0.171643,0.4651492153792832,18.122444,35.85471668798031,0.168125,1.0046790405277815
rcm_nccl,cusparse,3,0.221088,0.218153,0.246387,0.35207247792734114,14.727834333333334,40.7077724706904,0.238203,1.0774126139817628
rcm_nccl,cusparse,4,0.37106,0.370086,0.438141,0.2097746995095133,8.987821499999999,32.339783323451734,0.891599,2.40284320595052
