comm,kernel,P,T_median_ms,T_min_ms,T_max_ms,E_weak,mean_rank_effective_gflops,aggregate_gflops,T_cyclic_ghost_nccl_median_ms,speedup_vs_cyclic_ghost_nccl
block_nccl,acc,1,0.078435,0.078268,0.078657,1.0,38.248102,38.248231019315355,0.077033,0.98212532670364
block_nccl,acc,2,0.389434,0.38741,0.391011,0.20140768397212366,7.733146,15.406975251262088,0.385568,0.9900727722797702
block_nccl,acc,3,0.60527,0.602543,0.621002,0.12958679597534986,5.450039,14.8693971285542,0.627424,1.0366018471095544
block_nccl,acc,4,0.880627,0.877349,0.885379,0.089067221422918,3.79193375,13.626654644929124,0.903753,1.0262608346098858
block_nccl,cusparse,1,0.097919,0.097908,0.097988,1.0,30.637713,30.63756778561872,0.096068,0.9810966206762732
block_nccl,cusparse,2,0.408525,0.406031,0.41516,0.23968912551251453,7.364908,14.686983660730677,0.405005,0.9913836362523712
block_nccl,cusparse,3,0.633962,0.626258,0.636254,0.15445562983270292,5.197862333333333,14.196434486609606,0.649263,1.024135516008846
block_nccl,cusparse,4,0.910097,0.900804,1.004216,0.10759182812381538,3.67826025,13.18540770928813,0.933174,1.0253566378089367
fennel_nccl,acc,1,0.077996,0.077921,0.078313,1.0,38.46351,38.46351094927946,0.077033,0.9876532129852814
fennel_nccl,acc,2,0.28482,0.283815,0.286475,0.2738431289937504,10.5752065,21.065936380872127,0.385568,1.3537251597500175
fennel_nccl,acc,3,0.419734,0.415741,0.42047,0.1858224494560841,7.651148333333333,21.442151457828054,0.627424,1.4948133818084788
fennel_nccl,acc,4,1.050311,0.72995,1.279958,0.07425990968389362,2.97503825,11.425187396875783,0.903753,0.8604622821240566
fennel_nccl,cusparse,1,0.097772,0.09749,0.097913,1.0,30.683672,30.683631305486234,0.096068,0.9825716974184838
fennel_nccl,cusparse,2,0.299121,0.299079,0.306433,0.3268643792980098,10.058870500000001,20.05877220255348,0.405005,1.353983839315862
fennel_nccl,cusparse,3,0.439561,0.437088,0.441795,0.2224310164004541,7.282883999999999,20.474973894408286,0.649263,1.477071441733912
fennel_nccl,cusparse,4,1.049718,0.852947,1.293446,0.09314120554282199,3.0392419999999998,11.431641640897842,0.933174,0.8889758963836002
rcm_nccl,acc,1,0.057319,0.057295,0.057383,1.0,52.338848,52.338666061864295,0.077033,1.343934820914531
rcm_nccl,acc,2,0.293193,0.283342,0.295419,0.1954992104177112,10.612178499999999,20.46433577882146,0.385568,1.3150655029281055
rcm_nccl,acc,3,0.579653,0.573788,0.583456,0.09888502259110192,5.824027,15.526530527746774,0.627424,1.0824130988712213
rcm_nccl,acc,4,0.870915,0.868998,0.873973,0.06581468914876883,4.6681025,13.778612149291263,0.903753,1.0377051721465356
rcm_nccl,cusparse,1,0.07284,0.072558,0.073148,1.0,41.186368,41.18616144975288,0.096068,1.3188907193849533
rcm_nccl,cusparse,2,0.299757,0.298854,0.30527,0.2429968274302185,10.37585,20.016213132637436,0.405005,1.3511110666306376
rcm_nccl,cusparse,3,0.597895,0.597219,0.602751,0.12182741116751271,5.620067333333333,15.052810276051815,0.649263,1.0859147509178035
rcm_nccl,cusparse,4,0.892046,0.88538,0.893199,0.08165498191797284,4.52108775,13.452221073801127,0.933174,1.0461052456936077
