matrix,P,n_runs,serial_mean_ms,chunked_mean_ms,speedup_chunked_over_serial,serial_read_ms,serial_distribute_ms,chunked_io_ms,chunked_parse_ms,chunked_redistribute_ms,check
ASIC_680k.mtx,1,1,1451.1667,736.6326,1.970000648898786,1162.9212,288.2448,35.1824,384.6183,316.705,OK!
ASIC_680k.mtx,2,1,1485.5922,419.2302,3.543619233538042,1170.5225,1484.9089,19.6446,195.9289,210.6587,OK!
ASIC_680k.mtx,4,1,2597.7925,405.8582,6.400739223699311,2205.503,2597.097,15.7133,216.6374,174.8139,OK!
Queen_4147.mtx,1,1,75666.7046,50122.3863,1.509638909590384,47241.8697,28424.8333,1430.3361,16798.0471,31873.5425,OK!
Queen_4147.mtx,2,1,76407.1905,25445.5095,3.002776992930717,47410.2534,76402.5951,801.3628,8501.4308,16343.0079,OK!
Queen_4147.mtx,3,1,127811.4393,26755.2241,4.7770648013372465,90832.8229,127805.439,802.1033,11009.5188,17272.9131,OK!
Queen_4147.mtx,4,1,128777.5073,20474.8385,6.289549355908228,91170.6565,128771.6928,740.419,8396.1798,11747.7803,OK!
amazon0302.mtx,1,1,213.6029,172.027,1.2416824103193105,104.0193,109.5828,6.2486,43.5147,122.1749,OK!
amazon0302.mtx,2,1,215.8381,87.6647,2.4620867920611147,105.7636,215.2114,4.1324,23.8976,61.6531,OK!
amazon0302.mtx,4,1,389.2563,66.7008,5.835856541450777,249.9976,388.4605,3.531,25.1285,39.7872,OK!
arabic-2005.mtx,1,1,116949.4813,100040.763,1.1690182860760467,61130.9678,55818.5129,3557.8518,25664.0271,70776.828,OK!
arabic-2005.mtx,2,1,117171.8435,59726.4884,1.9618070078936702,61130.7109,117162.8698,1931.8075,13096.3781,45114.0729,OK!
arabic-2005.mtx,3,1,219968.7072,58111.0608,3.785315638223558,145312.9653,219957.292,1979.9861,19369.9004,48431.3752,OK!
arabic-2005.mtx,4,1,220347.6867,42379.2864,5.199419466864832,146240.3072,220335.7961,1530.3174,14686.386,26979.3292,OK!
cage13.mtx,1,1,3033.2844,1585.5238,1.9131118687716957,2355.1519,678.1316,68.1598,789.9693,727.1251,OK!
cage13.mtx,2,1,2933.347,798.7611,3.672370875346834,2244.5332,2932.8427,43.6535,395.1683,366.3725,OK!
cage13.mtx,4,1,5186.4701,702.6714,7.381074710028044,4323.3404,5184.4856,35.0183,425.3537,255.7764,OK!
cit-Patents.mtx,1,1,3366.8439,2696.4907,1.2486020812161525,1511.461,1855.3823,85.0971,612.2265,1996.8298,OK!
