matrix,P,naive_bytes,ghost_bytes,checkerboard_bytes,ghost_over_naive,checkerboard_over_naive,checkerboard_over_ghost
ASIC_680k.mtx,1,2731448,0,5462896,0.0,2.0,nan
ASIC_680k.mtx,2,2731448,1073852,4097172,0.3931438562989301,1.5,3.8153972800721143
ASIC_680k.mtx,3,2731448,1126342.6666666667,,0.41236101388958046,nan,nan
ASIC_680k.mtx,4,2731448,1055193,2731448,0.3863126810395073,1.0,2.588576686918886
amazon0302.mtx,1,1048444,0,2096888,0.0,2.0,nan
amazon0302.mtx,2,1048444,452050,1572666,0.4311627516586484,1.5,3.4789647162924457
amazon0302.mtx,3,1048444,522562.6666666667,,0.49841733718411924,nan,nan
amazon0302.mtx,4,1048444,512841,1048444,0.4891448661063443,1.0,2.044384126854132
cage13.mtx,1,1781260,0,3562520,0.0,2.0,nan
cage13.mtx,2,1781260,889482,2671890,0.4993555123901059,1.5,3.0038719164637397
cage13.mtx,3,1781260,1183257.3333333333,,0.6642810894161062,nan,nan
cage13.mtx,4,1781260,1134863,1781260,0.6371124934035458,1.0,1.5695815265807416
cit-Patents.mtx,1,15099072,0,30198144,0.0,2.0,nan
cit-Patents.mtx,2,15099072,5172746,22648608,0.3425870146191766,1.5,4.3784496667727355
cit-Patents.mtx,3,15099072,5799737.333333333,,0.3841121714853292,nan,nan
cit-Patents.mtx,4,15099072,5663838,15099072,0.3751116624915756,1.0,2.6658728586516776
crankseg_2.mtx,1,255352,0,510704,0.0,2.0,nan
crankseg_2.mtx,2,255352,127676,383028,0.5,1.5,3.0
crankseg_2.mtx,3,255352,170234.66666666666,,0.6666666666666666,nan,nan
crankseg_2.mtx,4,255352,191514,255352,0.75,1.0,1.3333333333333333
parabolic_fem.mtx,1,2103300,0,4206600,0.0,2.0,nan
parabolic_fem.mtx,2,2103300,1048084,3154950,0.4983045690106024,1.5,3.010207197133054
parabolic_fem.mtx,3,2103300,1366105.3333333333,,0.6495056973961552,nan,nan
parabolic_fem.mtx,4,2103300,1357371,2103300,0.6453530166880617,1.0,1.549539514252183
poisson3Da.mtx,1,54056,0,108112,0.0,2.0,nan
poisson3Da.mtx,2,54056,27028,81084,0.5,1.5,3.0
poisson3Da.mtx,3,54056,35997.333333333336,,0.6659266933057078,nan,nan
poisson3Da.mtx,4,54056,40311,54056,0.7457266538404618,1.0,1.340973927712039
roadNet-CA.mtx,1,7885124,0,15770248,0.0,2.0,nan
roadNet-CA.mtx,2,7885124,3589256,11827686,0.45519334889343527,1.5,3.2953029820107567
roadNet-CA.mtx,3,7885124,3970136,,0.5034969646640941,nan,nan
roadNet-CA.mtx,4,7885124,3628552,7885124,0.4601769103440859,1.0,2.1730773046658833
thermal2.mtx,1,4912180,0,9824360,0.0,2.0,nan
thermal2.mtx,2,4912180,2436660,7368270,0.4960445260556413,1.5,3.0239220900741177
thermal2.mtx,3,4912180,3111950.6666666665,,0.633517229960357,nan,nan
thermal2.mtx,4,4912180,3222489,4912180,0.6560201376985371,1.0,1.5243434500474633
webbase-1M.mtx,1,4000020,0,8000040,0.0,2.0,nan
webbase-1M.mtx,2,4000020,152496,6000030,0.0381238093809531,1.5,39.3454910292729
webbase-1M.mtx,3,4000020,193513.33333333334,,0.04837809144287612,nan,nan
webbase-1M.mtx,4,4000020,206233,4000020,0.05155799221003895,1.0,19.395635034160392
