matrix,comm,kernel,P,T_median_ms,T_min_ms,T_max_ms,speedup,efficiency,aggregate_effective_gflops,nnz_min,nnz_max,nnz_avg,imbalance
Queen_4147.mtx,bcast,acc,1,4.844842,4.844842,4.844842,1.0,1.0,136.02065206667214,329499284,329499284,329499284.0,1.0
Queen_4147.mtx,bcast,acc,2,5.653807,5.653807,5.653807,0.8569167642262993,0.4284583821131496,116.55837703692399,164730746,164768538,164749642.0,1.0001146952416442
Queen_4147.mtx,bcast,acc,3,7.720068,7.720068,7.720068,0.6275646794820978,0.2091882264940326,85.36175691716706,109833094,109833096,109833094.66666667,1.0000000121396317
Queen_4147.mtx,bcast,acc,4,11.334361,11.334361,11.334361,0.42744729941105636,0.10686182485276409,58.141660390029934,82363466,82388230,82374821.0,1.0001627803233708
arabic-2005.mtx,bcast,acc,1,15.151823,15.151823,15.151823,1.0,1.0,84.47821202768802,639999458,639999458,639999458.0,1.0
arabic-2005.mtx,bcast,acc,2,25.454558,25.454558,25.454558,0.5952498959125514,0.2976249479562757,50.28564691635973,319972873,320026585,319999729.0,1.000083925071074
arabic-2005.mtx,bcast,acc,3,39.204359,39.204359,39.204359,0.3864831204101565,0.12882770680338548,32.64940299113168,213302455,213373643,213333152.66666666,1.0001897985982358
arabic-2005.mtx,bcast,acc,4,61.525288,61.525288,61.525288,0.24626984273523433,0.061567460683808584,20.80443599061251,159938796,160052514,159999864.5,1.0003290596536725
com-Orkut.mtx,bcast,acc,1,6.617603,6.617603,6.617603,1.0,1.0,70.83234397711679,234370166,234370166,234370166.0,1.0
com-Orkut.mtx,bcast,acc,2,6.141092,6.141092,6.141092,1.0775938546434412,0.5387969273217206,76.32849857973142,117155704,117214462,117185083.0,1.0002507059708274
com-Orkut.mtx,bcast,acc,3,7.114893,7.114893,7.114893,0.9301057654696985,0.31003525515656616,65.8815715148492,77997708,78204513,78123388.66666667,1.0010384128840015
com-Orkut.mtx,bcast,acc,4,9.604226,9.604226,9.604226,0.6890303289406142,0.17225758223515356,48.80563327018751,58479688,58676016,58592541.5,1.0014246608503916
europe_osm.mtx,bcast,acc,1,20.225781,20.225781,20.225781,1.0,1.0,10.690249241796892,108109320,108109320,108109320.0,1.0
europe_osm.mtx,bcast,acc,2,49.136518,49.136518,49.136518,0.4116242221314909,0.20581211106574546,4.400365528546406,54054365,54054955,54054660.0,1.0000054574388222
europe_osm.mtx,bcast,acc,3,83.025146,83.025146,83.025146,0.24361030331702158,0.0812034344390072,2.6042548603287003,36035574,36038009,36036440.0,1.000043539261925
europe_osm.mtx,bcast,acc,4,131.481384,131.481384,131.481384,0.15382999771283212,0.03845749942820803,1.6444810164152215,27025821,27029134,27027330.0,1.0000667472517633
kmer_V1r.mtx,bcast,acc,1,87.678701,87.678701,87.678701,1.0,1.0,10.61628191777157,465410904,465410904,465410904.0,1.0
kmer_V1r.mtx,bcast,acc,2,210.317472,210.317472,210.317472,0.4168873853713875,0.20844369268569374,4.425794011065329,232701207,232709697,232705452.0,1.0000182419447567
kmer_V1r.mtx,bcast,acc,3,362.862399,362.862399,362.862399,0.2416307152287774,0.0805435717429258,2.565219792861481,155135388,155137944,155136968.0,1.0000062912148702
