matrix,comm,kernel,P,T_median_ms,T_min_ms,T_max_ms,speedup,efficiency,aggregate_effective_gflops
ASIC_680k.mtx,bcast,cusparse,1,0.22449,0.224141,0.225175,1.0,1.0,34.49394627823066
ASIC_680k.mtx,bcast,cusparse,2,0.57444,0.572087,0.667597,0.39079799456862335,0.19539899728431168,13.48016503029037
ASIC_680k.mtx,bcast,cusparse,3,0.871821,0.867873,0.874173,0.2574955180019752,0.08583183933399173,8.882036564845306
ASIC_680k.mtx,bcast,cusparse,4,1.450986,1.446206,1.477554,0.1547154831266463,0.03867887078166157,5.336747563381039
amazon0302.mtx,bcast,cusparse,1,0.10866,0.107619,0.109109,1.0,1.0,22.72919197496779
amazon0302.mtx,bcast,cusparse,2,0.225422,0.224742,0.225752,0.482029260675533,0.2410146303377665,10.956135603445981
amazon0302.mtx,bcast,cusparse,3,0.351158,0.349106,0.352292,0.3094333604816066,0.10314445349386886,7.033170253845847
amazon0302.mtx,bcast,cusparse,4,0.467671,0.465057,0.468864,0.23234282219765606,0.058085705549414016,5.280964609736332
cage13.mtx,bcast,cusparse,1,0.212607,0.212519,0.214344,1.0,1.0,70.35838895238633
cage13.mtx,bcast,cusparse,2,0.405682,0.404946,0.409416,0.5240730424322498,0.2620365212161249,36.87293495890871
cage13.mtx,bcast,cusparse,3,0.601675,0.599195,0.602217,0.353358540740433,0.11778618024681099,24.861737649063034
cage13.mtx,bcast,cusparse,4,0.985581,0.95522,1.005332,0.21571742961765697,0.05392935740441424,15.177530816848131
cit-Patents.mtx,bcast,cusparse,1,1.773537,1.771927,1.859754,1.0,1.0,18.62825303334523
cit-Patents.mtx,bcast,cusparse,2,3.61624,3.606636,3.624027,0.4904367519854877,0.24521837599274385,9.135979912837644
cit-Patents.mtx,bcast,cusparse,3,6.003604,5.970987,6.041267,0.29541205582513436,0.09847068527504478,5.50301052501131
cit-Patents.mtx,bcast,cusparse,4,9.741974500000001,9.659532,9.822325,0.1820510821497223,0.04551277053743057,3.391299570105793
crankseg_2.mtx,bcast,cusparse,1,0.177206,0.176789,0.177308,1.0,1.0,159.68824983352707
crankseg_2.mtx,bcast,cusparse,2,0.141024,0.140528,0.141255,1.2565662582255501,0.6282831291127751,200.65886657590195
crankseg_2.mtx,bcast,cusparse,3,0.165211,0.16362,0.167413,1.072604124422708,0.35753470814090266,171.28227539328498
crankseg_2.mtx,bcast,cusparse,4,0.160711,0.159344,0.160891,1.1026376539253693,0.2756594134813423,176.07827715588854
parabolic_fem.mtx,bcast,cusparse,1,0.194878,0.19481,0.19517,1.0,1.0,37.712055747698564
parabolic_fem.mtx,bcast,cusparse,2,0.453612,0.452361,0.454311,0.429613855012654,0.214806927506327,16.201621650220893
parabolic_fem.mtx,bcast,cusparse,3,0.693993,0.693035,0.745298,0.28080686692805257,0.09360228897601752,10.589804219927291
parabolic_fem.mtx,bcast,cusparse,4,1.120876,1.114276,1.122707,0.17386222918503028,0.04346555729625757,6.556702079445006
poisson3Da.mtx,bcast,cusparse,1,0.035164,0.035051,0.035275,1.0,1.0,20.063815265612558
poisson3Da.mtx,bcast,cusparse,2,0.043834,0.043774,0.044473,0.8022083314322216,0.4011041657161108,16.095359766391386
poisson3Da.mtx,bcast,cusparse,3,0.047417,0.047412,0.047506,0.7415905687833477,0.2471968562611159,14.87913617478963
poisson3Da.mtx,bcast,cusparse,4,0.054626,0.054622,0.055274,0.6437227693772196,0.1609306923443049,12.915534727053052
roadNet-CA.mtx,bcast,cusparse,1,0.589668,0.564784,0.605357,1.0,1.0,18.767218163441125
roadNet-CA.mtx,bcast,cusparse,2,1.803203,1.601513,1.829672,0.32701143465267085,0.16350571732633543,6.137094936066544
roadNet-CA.mtx,bcast,cusparse,3,2.915986,2.893405,2.964095,0.20221907786937246,0.06740635928979082,3.795089551184402
roadNet-CA.mtx,bcast,cusparse,4,4.729109,4.630263,4.872118,0.12468902704505223,0.03117225676126306,2.340066173141706
thermal2.mtx,bcast,cusparse,1,0.427088,0.425582,0.427943,1.0,1.0,40.180538905330984
thermal2.mtx,bcast,cusparse,2,1.141124,1.024008,1.187245,0.3742695798177937,0.18713478990889684,15.03835341295074
thermal2.mtx,bcast,cusparse,3,1.613056,1.611553,1.62882,0.2647694810347564,0.08825649367825213,10.638580433661323
thermal2.mtx,bcast,cusparse,4,2.603658,2.587931,2.695212,0.16403383240041514,0.041008458100103784,6.5909677845554215
webbase-1M.mtx,bcast,cusparse,1,0.29035,0.289737,0.290812,1.0,1.0,21.391672119855347
webbase-1M.mtx,bcast,cusparse,2,0.883642,0.80761,0.920982,0.3285832950448258,0.1642916475224129,7.028946111660605
webbase-1M.mtx,bcast,cusparse,3,1.270104,1.259093,1.270973,0.2286033269716496,0.07620110899054987,4.890207416085612
webbase-1M.mtx,bcast,cusparse,4,2.110382,2.099846,2.153771,0.13758172691010442,0.034395431727526106,2.943103191744433
ASIC_680k.mtx,checkerboard_mpi,acc,1,1.267102,1.156302,1.287149,1.0,1.0,6.1112254577768805
ASIC_680k.mtx,checkerboard_mpi,acc,2,1.658062,1.605405,1.674418,0.7642066460723423,0.38210332303617117,4.670239110479585
ASIC_680k.mtx,checkerboard_mpi,acc,4,2.490581,2.485783,2.518816,0.5087575951153566,0.12718939877883914,3.10913236710631
amazon0302.mtx,checkerboard_mpi,acc,1,0.646023,0.592842,0.64693,1.0,1.0,3.8230124933632395
amazon0302.mtx,checkerboard_mpi,acc,2,0.792605,0.733202,0.819307,0.8150629884999464,0.4075314942499732,3.1159959879132733
amazon0302.mtx,checkerboard_mpi,acc,4,0.694484,0.687096,0.73051,0.9302201346611297,0.23255503366528243,3.5562431963875336
cage13.mtx,checkerboard_mpi,acc,1,1.062958,0.921836,1.0685,1.0,1.0,14.072697133847244
cage13.mtx,checkerboard_mpi,acc,2,1.123568,1.117088,1.276179,0.946055779445481,0.4730278897227405,13.31355645586204
cage13.mtx,checkerboard_mpi,acc,4,1.188233,1.180339,1.211401,0.8945703410021435,0.22364258525053587,12.589017473845617
cit-Patents.mtx,checkerboard_mpi,acc,1,14.812139,14.34735,16.744798,1.0,1.0,2.2304608402608155
cit-Patents.mtx,checkerboard_mpi,acc,2,12.751469,12.688416,13.436668,1.1616025573210427,0.5808012786605213,2.5909090160514054
cit-Patents.mtx,checkerboard_mpi,acc,4,14.0900875,13.630806,21.404602,1.051245352450792,0.262811338112698,2.345787708349203
crankseg_2.mtx,checkerboard_mpi,acc,1,0.36413,0.349667,0.367289,1.0,1.0,77.71322329937111
crankseg_2.mtx,checkerboard_mpi,acc,2,0.311378,0.311352,0.320591,1.1694146664183083,0.5847073332091541,90.87898310092555
crankseg_2.mtx,checkerboard_mpi,acc,4,0.266356,0.260227,0.266529,1.3670801483728545,0.34177003709321363,106.24020483863703
parabolic_fem.mtx,checkerboard_mpi,acc,1,1.0561,1.05011,1.19037,1.0,1.0,6.958858062683458
parabolic_fem.mtx,checkerboard_mpi,acc,2,1.322412,1.295495,1.468311,0.7986164674851711,0.39930823374258556,5.557458643750964
parabolic_fem.mtx,checkerboard_mpi,acc,4,1.348598,1.344284,1.492427,0.7831095700868607,0.19577739252171517,5.449548345763527
poisson3Da.mtx,checkerboard_mpi,acc,1,0.085847,0.085526,0.091211,1.0,1.0,8.218388528428482
poisson3Da.mtx,checkerboard_mpi,acc,2,0.097237,0.096799,0.105605,0.8828635190308216,0.4414317595154108,7.255715416970906
poisson3Da.mtx,checkerboard_mpi,acc,4,0.102804,0.102256,0.114743,0.8350550562234933,0.20876376405587332,6.862806894673359
roadNet-CA.mtx,checkerboard_mpi,acc,1,5.394112,4.484511,5.428931,1.0,1.0,2.051575495651555
roadNet-CA.mtx,checkerboard_mpi,acc,2,4.959203,4.381321,5.063669,1.087697357821408,0.543848678910704,2.231493245991342
roadNet-CA.mtx,checkerboard_mpi,acc,4,7.855612,6.749443,7.894599,0.6866571312330598,0.17166428280826496,1.4087289443521398
thermal2.mtx,checkerboard_mpi,acc,1,3.968047,3.959012,3.991796,1.0,1.0,4.324703311225901
thermal2.mtx,checkerboard_mpi,acc,2,2.840465,2.660797,2.865859,1.396970918493979,0.6984854592469895,6.041484756897199
thermal2.mtx,checkerboard_mpi,acc,4,4.910566,4.581794,5.188297,0.8080630623842546,0.20201576559606366,3.4946330015725273
webbase-1M.mtx,checkerboard_mpi,acc,1,2.02655,1.821587,2.038744,1.0,1.0,3.0648501147269993
webbase-1M.mtx,checkerboard_mpi,acc,2,2.53716,2.530416,2.538004,0.7987474183732992,0.3993737091866496,2.448041116839301
webbase-1M.mtx,checkerboard_mpi,acc,4,2.545866,2.387543,2.588334,0.7960159725610066,0.19900399314025166,2.439669644828125
ASIC_680k.mtx,checkerboard_mpi,cusparse,1,1.164143,1.163036,1.220207,1.0,1.0,6.6517137499430925
ASIC_680k.mtx,checkerboard_mpi,cusparse,2,1.626834,1.603603,1.774039,0.7155880686044181,0.3577940343022091,4.759886995231229
ASIC_680k.mtx,checkerboard_mpi,cusparse,4,1.701483,1.672646,1.716332,0.6841931421001561,0.17104828552503903,4.551056930924376
amazon0302.mtx,checkerboard_mpi,cusparse,1,0.65915,0.630885,0.661026,1.0,1.0,3.746877038610331
amazon0302.mtx,checkerboard_mpi,cusparse,2,0.761512,0.760512,0.765214,0.8655805817899127,0.43279029089495635,3.2432240069755958
amazon0302.mtx,checkerboard_mpi,cusparse,4,0.71148,0.700571,0.724491,0.9264490920335077,0.23161227300837692,3.4712908303817396
cage13.mtx,checkerboard_mpi,cusparse,1,0.920666,0.902847,1.05482,1.0,1.0,16.247679397305863
cage13.mtx,checkerboard_mpi,cusparse,2,1.143269,1.120598,1.298345,0.8052925426999245,0.4026462713499622,13.084135054829614
cage13.mtx,checkerboard_mpi,cusparse,4,1.221765,1.184777,1.228401,0.7535540795488495,0.18838851988721236,12.243505093041625
cit-Patents.mtx,checkerboard_mpi,cusparse,1,12.151272,11.706808,12.169638,1.0,1.0,2.7188837514294795
cit-Patents.mtx,checkerboard_mpi,cusparse,2,8.236331,8.213413,11.100406,1.4753258459379548,0.7376629229689774,4.011239470584657
cit-Patents.mtx,checkerboard_mpi,cusparse,4,11.760019,11.245843,11.822591,1.0332697591730082,0.25831743979325206,2.8093595557891353
crankseg_2.mtx,checkerboard_mpi,cusparse,1,0.330821,0.315422,0.368477,1.0,1.0,85.537846750962
crankseg_2.mtx,checkerboard_mpi,cusparse,2,0.295012,0.292046,0.309973,1.1213815031252965,0.5606907515626482,95.92055916369503
crankseg_2.mtx,checkerboard_mpi,cusparse,4,0.272477,0.267575,0.281129,1.2141244949114969,0.3035311237278742,103.85359498232877
parabolic_fem.mtx,checkerboard_mpi,cusparse,1,1.195172,1.012406,1.196078,1.0,1.0,6.149114939105
parabolic_fem.mtx,checkerboard_mpi,cusparse,2,1.337685,1.335376,1.609342,0.8934629602634401,0.44673148013172004,5.494006436492897
parabolic_fem.mtx,checkerboard_mpi,cusparse,4,1.417508,1.35126,1.418488,0.843150091569148,0.210787522892287,5.184626823975597
poisson3Da.mtx,checkerboard_mpi,cusparse,1,0.086307,0.084814,0.08997,1.0,1.0,8.174586070654756
poisson3Da.mtx,checkerboard_mpi,cusparse,2,0.09576,0.092892,0.096016,0.9012844611528822,0.4506422305764411,7.367627401837929
poisson3Da.mtx,checkerboard_mpi,cusparse,4,0.100719,0.09964,0.13355,0.8569088255443361,0.21422720638608403,7.004874949115856
roadNet-CA.mtx,checkerboard_mpi,cusparse,1,3.488233,3.426359,4.471001,1.0,1.0,3.172502524917343
roadNet-CA.mtx,checkerboard_mpi,cusparse,2,4.654368,4.242146,4.70285,0.7494536315134515,0.37472681575672573,2.3776435382848975
roadNet-CA.mtx,checkerboard_mpi,cusparse,4,7.834272,7.255175,8.239266,0.4452529858549716,0.1113132464637429,1.4125662218518837
thermal2.mtx,checkerboard_mpi,cusparse,1,4.132966,4.093464,5.235257,1.0,1.0,4.152133358948513
thermal2.mtx,checkerboard_mpi,cusparse,2,2.927861,2.73547,3.175555,1.4115991162148749,0.7057995581074374,5.861147779898022
thermal2.mtx,checkerboard_mpi,cusparse,4,4.505637,4.389405,5.055788,0.9172878329967549,0.22932195824918872,3.808701411143419
webbase-1M.mtx,checkerboard_mpi,cusparse,1,1.997797,1.99225,2.026535,1.0,1.0,3.108960520012794
webbase-1M.mtx,checkerboard_mpi,cusparse,2,2.573212,2.273356,2.589468,0.7763825910962642,0.3881912955481321,2.4137428241435224
webbase-1M.mtx,checkerboard_mpi,cusparse,4,2.392912,2.377592,2.401139,0.8348810988452564,0.2087202747113141,2.595612375214801
ASIC_680k.mtx,checkerboard_nccl,acc,1,0.098545,0.098104,0.098851,1.0,1.0,78.57878126744127
ASIC_680k.mtx,checkerboard_nccl,acc,2,0.290924,0.290026,0.292611,0.33873107753227644,0.16936553876613822,26.61707524989344
ASIC_680k.mtx,checkerboard_nccl,acc,4,1.908473,1.904889,1.909435,0.051635522221168434,0.012908880555292108,4.057456406247298
amazon0302.mtx,checkerboard_nccl,acc,1,0.056336,0.056267,0.056436,1.0,1.0,43.839711729622266
amazon0302.mtx,checkerboard_nccl,acc,2,0.181861,0.180881,0.182711,0.3097750479762016,0.1548875239881008,13.580448804306588
amazon0302.mtx,checkerboard_nccl,acc,4,0.207417,0.207027,0.207582,0.27160743815598526,0.06790185953899631,11.907191792379603
cage13.mtx,checkerboard_nccl,acc,1,0.136005,0.135732,0.136275,1.0,1.0,109.98629462152127
cage13.mtx,checkerboard_nccl,acc,2,0.266676,0.26571,0.268358,0.510000899968501,0.2550004499842505,56.09310924117655
cage13.mtx,checkerboard_nccl,acc,4,0.308386,0.307784,0.308749,0.4410219659777032,0.1102554914944258,48.506371884586194
cit-Patents.mtx,checkerboard_nccl,acc,1,4.892804,4.890943,5.132197,1.0,1.0,6.752344054656595
cit-Patents.mtx,checkerboard_nccl,acc,2,5.75842,5.000045,5.774557,0.8496782103424203,0.42483910517121015,5.737319611976896
cit-Patents.mtx,checkerboard_nccl,acc,4,3.489479,3.468283,3.493073,1.4021588896222041,0.35053972240555104,9.467859242024382
crankseg_2.mtx,checkerboard_nccl,acc,1,0.20794,0.207728,0.208041,1.0,1.0,136.08596710589592
crankseg_2.mtx,checkerboard_nccl,acc,2,0.17852,0.178246,0.17978,1.1647994622451265,0.5823997311225633,158.51286130405555
crankseg_2.mtx,checkerboard_nccl,acc,4,0.173127,0.173032,0.17313,1.2010835975902083,0.3002708993975521,163.45062295309225
parabolic_fem.mtx,checkerboard_nccl,acc,1,0.101415,0.101343,0.101675,1.0,1.0,72.46709066706109
parabolic_fem.mtx,checkerboard_nccl,acc,2,0.269526,0.266983,0.271484,0.37627167694396835,0.18813583847198417,27.267313728545673
parabolic_fem.mtx,checkerboard_nccl,acc,4,0.31935,0.31844,0.31942,0.31756693283231563,0.07939173320807891,23.013151714419916
poisson3Da.mtx,checkerboard_nccl,acc,1,0.0368,0.036791,0.036849,1.0,1.0,19.171847826086957
poisson3Da.mtx,checkerboard_nccl,acc,2,0.072008,0.071782,0.072195,0.511054327296967,0.2555271636484835,9.797855793800688
poisson3Da.mtx,checkerboard_nccl,acc,4,0.084248,0.084164,0.085308,0.43680562149843316,0.10920140537460829,8.374370904947298
roadNet-CA.mtx,checkerboard_nccl,acc,1,0.186445,0.186098,0.186505,1.0,1.0,59.35491968140739
roadNet-CA.mtx,checkerboard_nccl,acc,2,0.612846,0.612382,0.615823,0.30422814214337696,0.15211407107168848,18.05743694174393
roadNet-CA.mtx,checkerboard_nccl,acc,4,0.688168,0.681607,0.755966,0.27092948233570874,0.06773237058392718,16.080997663361273
thermal2.mtx,checkerboard_nccl,acc,1,0.216055,0.215973,0.216071,1.0,1.0,79.42711809492954
thermal2.mtx,checkerboard_nccl,acc,2,0.462675,0.462248,0.465671,0.4669692548765332,0.2334846274382666,37.09002215377965
thermal2.mtx,checkerboard_nccl,acc,4,0.524287,0.524217,0.524979,0.4120929948673151,0.10302324871682877,32.731358969419425
webbase-1M.mtx,checkerboard_nccl,acc,1,0.097029,0.096732,0.097183,1.0,1.0,64.01253233569345
webbase-1M.mtx,checkerboard_nccl,acc,2,0.361008,0.360338,0.361345,0.2687724371759075,0.13438621858795374,17.20480432566591
webbase-1M.mtx,checkerboard_nccl,acc,4,0.592387,0.591002,0.597288,0.16379326352536433,0.04094831588134108,10.484821577786144
ASIC_680k.mtx,checkerboard_nccl,cusparse,1,0.097366,0.097301,0.097625,1.0,1.0,79.5302877801286
ASIC_680k.mtx,checkerboard_nccl,cusparse,2,0.304011,0.302334,0.305554,0.32027130597248127,0.16013565298624063,25.471269131709054
ASIC_680k.mtx,checkerboard_nccl,cusparse,4,0.367974,0.366398,0.370323,0.26460021631963127,0.06615005407990782,21.043731350584547
amazon0302.mtx,checkerboard_nccl,cusparse,1,0.071925,0.071643,0.072064,1.0,1.0,34.337907542579075
amazon0302.mtx,checkerboard_nccl,cusparse,2,0.191596,0.187328,0.194028,0.375399277646715,0.1876996388233575,12.890425687383871
amazon0302.mtx,checkerboard_nccl,cusparse,4,0.208262,0.207707,0.209506,0.34535825066502773,0.08633956266625693,11.858879680402572
cage13.mtx,checkerboard_nccl,cusparse,1,0.135012,0.13501,0.135303,1.0,1.0,110.79523301632447
cage13.mtx,checkerboard_nccl,cusparse,2,0.273685,0.269858,0.274508,0.4933116539086906,0.2466558269543453,54.65657964448179
cage13.mtx,checkerboard_nccl,cusparse,4,0.304855,0.3045,0.305425,0.4428728411867937,0.11071821029669843,49.068199635892476
cit-Patents.mtx,checkerboard_nccl,cusparse,1,0.815797,0.81543,0.818412,1.0,1.0,40.49769244064394
cit-Patents.mtx,checkerboard_nccl,cusparse,2,1.315229,1.310866,1.315342,0.6202699301794592,0.3101349650897296,25.11950086258743
cit-Patents.mtx,checkerboard_nccl,cusparse,4,1.26979,1.262798,1.278252,0.6424660770678616,0.1606165192669654,26.018393592641303
crankseg_2.mtx,checkerboard_nccl,cusparse,1,0.174183,0.174088,0.174467,1.0,1.0,162.45968894783073
crankseg_2.mtx,checkerboard_nccl,cusparse,2,0.174625,0.173494,0.174698,0.9974688618468146,0.4987344309234073,162.04848103078024
crankseg_2.mtx,checkerboard_nccl,cusparse,4,0.16532,0.163708,0.165708,1.0536111783208324,0.2634027945802081,171.16934430195982
parabolic_fem.mtx,checkerboard_nccl,cusparse,1,0.098598,0.098479,0.098616,1.0,1.0,74.53751597395485
parabolic_fem.mtx,checkerboard_nccl,cusparse,2,0.278289,0.277896,0.280294,0.3543007449090694,0.1771503724545347,26.408697433243855
parabolic_fem.mtx,checkerboard_nccl,cusparse,4,0.323658,0.323177,0.32413,0.3046363754333278,0.07615909385833194,22.706838700109376
poisson3Da.mtx,checkerboard_nccl,cusparse,1,0.035353,0.035286,0.035706,1.0,1.0,19.956552484937625
poisson3Da.mtx,checkerboard_nccl,cusparse,2,0.071365,0.070595,0.157442,0.49538289077278785,0.24769144538639393,9.886134659847265
poisson3Da.mtx,checkerboard_nccl,cusparse,4,0.081171,0.080977,0.081212,0.4355373224427444,0.1088843306106861,8.691823434477831
roadNet-CA.mtx,checkerboard_nccl,cusparse,1,0.178792,0.178412,0.179124,1.0,1.0,61.895543424761726
roadNet-CA.mtx,checkerboard_nccl,cusparse,2,0.618017,0.612932,0.61976,0.2892994852892396,0.1446497426446198,17.90634885448135
roadNet-CA.mtx,checkerboard_nccl,cusparse,4,0.690255,0.684038,0.694873,0.2590231146460366,0.06475577866150915,16.0323764405908
thermal2.mtx,checkerboard_nccl,cusparse,1,0.194382,0.194105,0.194598,1.0,1.0,88.28299945468203
thermal2.mtx,checkerboard_nccl,cusparse,2,0.46463,0.463954,0.467584,0.41835869401459225,0.20917934700729612,36.933960355551726
thermal2.mtx,checkerboard_nccl,cusparse,4,0.527201,0.523505,0.527817,0.36870567392702214,0.09217641848175553,32.55044281023746
webbase-1M.mtx,checkerboard_nccl,cusparse,1,0.104121,0.104106,0.104354,1.0,1.0,59.65244283093708
webbase-1M.mtx,checkerboard_nccl,cusparse,2,0.37741,0.372159,0.378646,0.2758829919715959,0.13794149598579794,16.457094406613496
webbase-1M.mtx,checkerboard_nccl,cusparse,4,0.441798,0.440096,0.442905,0.23567558024255428,0.05891889506063857,14.058624077066895
ASIC_680k.mtx,ghost_mpi,acc,1,0.075831,0.075776,0.075842,1.0,1.0,102.11583653123394
ASIC_680k.mtx,ghost_mpi,acc,2,0.25608,0.251338,0.295628,0.296122305529522,0.148061152764761,30.23877694470478
ASIC_680k.mtx,ghost_mpi,acc,3,0.883789,0.880784,0.890441,0.08580215413407498,0.02860071804469166,8.76175874558294
ASIC_680k.mtx,ghost_mpi,acc,4,1.135312,1.094785,1.17341,0.0667930929999859,0.016698273249996474,6.8206325662020655
amazon0302.mtx,ghost_mpi,acc,1,0.043732,0.043492,0.043874,1.0,1.0,56.47475532790634
amazon0302.mtx,ghost_mpi,acc,2,0.142267,0.134413,0.157102,0.30739384396943775,0.15369692198471888,17.359992127478613
amazon0302.mtx,ghost_mpi,acc,3,0.394393,0.390125,0.397724,0.11088432096918556,0.03696144032306185,6.262164896435789
amazon0302.mtx,ghost_mpi,acc,4,0.664095,0.658474,0.665877,0.06585202418328703,0.01646300604582176,3.7189769535985064
cage13.mtx,ghost_mpi,acc,1,0.116203,0.116031,0.11641,1.0,1.0,128.72891405557516
cage13.mtx,ghost_mpi,acc,2,0.28427,0.280944,0.291084,0.4087768670630035,0.20438843353150174,52.621402188060635
cage13.mtx,ghost_mpi,acc,3,0.844735,0.842649,0.848511,0.1375614837789366,0.0458538279263122,17.708140422736125
cage13.mtx,ghost_mpi,acc,4,1.457018,1.390219,1.463031,0.0797539906850842,0.01993849767127105,10.266644612489344
cit-Patents.mtx,ghost_mpi,acc,1,4.578361,4.353116,4.785526,1.0,1.0,7.216096764759266
cit-Patents.mtx,ghost_mpi,acc,2,3.28581,3.10086,3.290061,1.3933736278117115,0.6966868139058557,10.054718927752974
cit-Patents.mtx,ghost_mpi,acc,3,5.320453,5.272942,5.4419,0.8605208992542553,0.28684029975141845,6.209602077116366
cit-Patents.mtx,ghost_mpi,acc,4,7.4715775,6.989439,7.970132,0.6127703286220346,0.15319258215550866,4.426671990903847
crankseg_2.mtx,ghost_mpi,acc,1,0.195947,0.195854,0.196174,1.0,1.0,144.41515307710756
crankseg_2.mtx,ghost_mpi,acc,2,0.145653,0.145282,0.146845,1.3453001311335846,0.6726500655667923,194.2817243723095
crankseg_2.mtx,ghost_mpi,acc,3,0.212684,0.210328,0.217248,0.9213057869891482,0.3071019289963827,133.0505162588629
crankseg_2.mtx,ghost_mpi,acc,4,0.29769,0.294588,0.29781,0.6582249991602003,0.16455624979005007,95.05766401289931
parabolic_fem.mtx,ghost_mpi,acc,1,0.079968,0.079945,0.080171,1.0,1.0,91.90238595438174
parabolic_fem.mtx,ghost_mpi,acc,2,0.327154,0.320595,0.331804,0.24443534237698453,0.12221767118849226,22.464191176021075
parabolic_fem.mtx,ghost_mpi,acc,3,0.903317,0.901212,0.904123,0.088527061928426,0.029509020642808668,8.135848212753663
parabolic_fem.mtx,ghost_mpi,acc,4,1.568725,1.535603,1.6401,0.05097642990326539,0.012744107475816347,4.684855535546383
poisson3Da.mtx,ghost_mpi,acc,1,0.026548,0.02654,0.026583,1.0,1.0,26.575410577067956
poisson3Da.mtx,ghost_mpi,acc,2,0.047673,0.047237,0.047699,0.5568770582929541,0.27843852914647704,14.799236465085059
poisson3Da.mtx,ghost_mpi,acc,3,0.075627,0.069029,0.077101,0.3510386502175149,0.1170128834058383,9.328996257950203
poisson3Da.mtx,ghost_mpi,acc,4,0.085895,0.084224,0.087669,0.30907503347109844,0.07726875836777461,8.21379591361546
roadNet-CA.mtx,ghost_mpi,acc,1,0.150338,0.150177,0.150401,1.0,1.0,73.61031808325241
roadNet-CA.mtx,ghost_mpi,acc,2,1.144489,1.069487,1.205914,0.13135818692883897,0.06567909346441948,9.669317922671166
roadNet-CA.mtx,ghost_mpi,acc,3,2.875151,2.847695,2.885624,0.05228873196572981,0.017429577321909934,3.8489901921672987
roadNet-CA.mtx,ghost_mpi,acc,4,3.929212,3.530056,4.003563,0.03826161581507946,0.009565403953769865,2.8164497105271993
thermal2.mtx,ghost_mpi,acc,1,0.184813,0.184478,0.184838,1.0,1.0,92.85399836591581
thermal2.mtx,ghost_mpi,acc,2,0.848336,0.801951,0.920943,0.2178535391637276,0.1089267695818638,20.22857216951774
thermal2.mtx,ghost_mpi,acc,3,2.286553,2.278091,2.316894,0.08082602939883747,0.02694200979961249,7.505020001723117
thermal2.mtx,ghost_mpi,acc,4,3.832027,3.571267,3.868933,0.04822852239819814,0.012057130599549534,4.4782111399528235
webbase-1M.mtx,ghost_mpi,acc,1,0.070252,0.070225,0.070292,1.0,1.0,88.41131925069749
webbase-1M.mtx,ghost_mpi,acc,2,0.078139,0.077492,0.078827,0.8990644876438142,0.4495322438219071,79.48747744404203
webbase-1M.mtx,ghost_mpi,acc,3,0.17465,0.173989,0.175074,0.4022444889779559,0.1340814963259853,35.56296593186373
webbase-1M.mtx,ghost_mpi,acc,4,0.566562,0.563196,0.576853,0.1239970206261627,0.030999255156540676,10.962740176714993
ASIC_680k.mtx,ghost_mpi,cusparse,1,0.077313,0.077182,0.077482,1.0,1.0,100.1583950952621
ASIC_680k.mtx,ghost_mpi,cusparse,2,0.27628,0.268751,0.28102,0.27983567395395975,0.13991783697697988,28.027891993629652
ASIC_680k.mtx,ghost_mpi,cusparse,3,0.871144,0.866114,0.882379,0.08874881764668069,0.02958293921556023,8.888939142093614
ASIC_680k.mtx,ghost_mpi,cusparse,4,1.147645,1.134776,1.17929,0.06736665083714913,0.016841662709287282,6.747335630791751
amazon0302.mtx,ghost_mpi,cusparse,1,0.058168,0.058131,0.058243,1.0,1.0,42.45898088295971
amazon0302.mtx,ghost_mpi,cusparse,2,0.154693,0.147366,0.160445,0.3760221858778354,0.1880110929389177,15.965518801755737
amazon0302.mtx,ghost_mpi,cusparse,3,0.394912,0.390164,0.401191,0.1472935742646463,0.04909785808821543,6.253935053885423
amazon0302.mtx,ghost_mpi,cusparse,4,0.700968,0.642275,0.706546,0.0829823900663083,0.020745597516577074,3.523347713447689
cage13.mtx,ghost_mpi,cusparse,1,0.117868,0.117616,0.117885,1.0,1.0,126.91049309396954
