comm,kernel,P,T_median_ms,T_min_ms,T_max_ms,E_weak,mean_rank_effective_gflops,aggregate_gflops
bcast,cusparse,1,0.25807,0.257032,0.258699,1.0,11.624751,11.624752973999302
bcast,cusparse,2,1.23031,1.229819,1.235441,0.20976014175289157,2.4515795000000002,4.8768196633368825
bcast,cusparse,3,3.337996,3.33479,3.348968,0.0773128547787355,0.9759446666666667,2.6962285155524452
bcast,cusparse,4,7.57702,7.497639,7.624586,0.034059564314202685,0.46806675000000003,1.5837360862185923
checkerboard_mpi,acc,1,1.343067,1.3138,1.353308,1.0,2.233693,2.2336934791786263
checkerboard_mpi,acc,2,3.70107,3.445959,3.828163,0.36288613833296857,0.958918,1.6211528017573298
checkerboard_mpi,acc,4,9.414889,9.155364,9.785441,0.14265351402443513,0.45132875,1.2745768962331896
checkerboard_mpi,cusparse,1,1.478928,1.353144,1.592192,1.0,2.028497,2.0284963162506897
checkerboard_mpi,cusparse,2,3.474133,3.20158,4.230778,0.42569700123743104,1.0278285,1.727049597698188
checkerboard_mpi,cusparse,4,9.002385,8.89177,10.393848,0.16428179865668932,0.484269,1.3329800936085272
checkerboard_nccl,acc,1,0.097525,0.097431,0.097598,1.0,30.761468,30.76134324532171
checkerboard_nccl,acc,2,0.506245,0.503208,0.507376,0.19264387796422683,6.356661,11.8519689083349
checkerboard_nccl,acc,4,0.953052,0.951774,0.955839,0.10232914888169796,3.4012445,12.591128291006157
checkerboard_nccl,cusparse,1,0.11597,0.115775,0.116526,1.0,25.868736,25.868759161852203
checkerboard_nccl,cusparse,2,0.545444,0.545151,0.546614,0.21261577723835992,5.8645625,11.0002126707783
checkerboard_nccl,cusparse,4,0.996124,0.991872,1.003373,0.11642124876019452,3.23446925,12.046692981998227
ghost_mpi,acc,1,0.07649,0.076431,0.076508,1.0,39.220829,39.220813178193225
ghost_mpi,acc,2,0.637196,0.578088,0.655191,0.12004155707192136,4.718604,9.416254967074495
ghost_mpi,acc,3,1.982125,1.962852,2.001085,0.03858989720628114,1.567815,4.5405814466797
ghost_mpi,acc,4,4.296252,4.255015,4.307445,0.01780389046080165,0.76235025,2.793132246432472
ghost_mpi,cusparse,1,0.095642,0.095476,0.09588,1.0,31.367103,31.36697266891115
ghost_mpi,cusparse,2,0.572147,0.473868,0.627484,0.1671633338984562,5.2613325,10.486815451273888
ghost_mpi,cusparse,3,2.033376,1.998949,2.034341,0.04703606219410478,1.5362096666666667,4.4261366318870685
ghost_mpi,cusparse,4,4.210705,4.203032,4.348534,0.022714011074155042,0.7816765,2.8498790582574647
ghost_nccl,acc,1,0.077033,0.076944,0.077113,1.0,38.944296,38.94434852595641
ghost_nccl,acc,2,0.385568,0.384099,0.3863,0.19979095775583036,7.8051105,15.561457382355382
ghost_nccl,acc,3,0.627424,0.620113,0.632839,0.12277662314479523,5.179371333333333,14.344366807772733
ghost_nccl,acc,4,0.903753,0.89601,0.905499,0.08523678482948328,3.40586,13.277964222525402
ghost_nccl,cusparse,1,0.096068,0.096032,0.096074,1.0,31.227879,31.22788025148853
ghost_nccl,cusparse,2,0.405005,0.404034,0.408492,0.23720200985173023,7.413762999999999,14.814631918124467
ghost_nccl,cusparse,3,0.649263,0.643428,0.653421,0.14796469227416317,4.993647,13.86187107535775
ghost_nccl,cusparse,4,0.933174,0.931962,0.936328,0.10294757462166756,3.3049405,12.859338129866456
