comm,kernel,P,T_median_ms,T_min_ms,T_max_ms,E_weak,mean_rank_effective_gflops,aggregate_gflops
bcast,cusparse,1,0.09087,0.090618,0.090959,1.0,33.014377,33.01419610432486
bcast,cusparse,2,0.185969,0.185096,0.187446,0.48862982540100774,16.249379,32.26344175642177
bcast,cusparse,3,0.355026,0.353275,0.356298,0.2559530851261598,8.979377333333334,25.35025603758598
bcast,cusparse,4,0.713603,0.700809,0.716511,0.12733971129605678,4.9052305,16.81607280238452
checkerboard_mpi,acc,1,0.256807,0.255293,0.274196,1.0,11.681938,11.681924558131202
checkerboard_mpi,acc,2,0.495277,0.494844,0.513894,0.5185118630584501,6.9513715000000005,12.114432933489745
checkerboard_mpi,acc,4,0.85859,0.823573,0.873705,0.29910318079642206,4.25284175,13.97640317264352
checkerboard_mpi,cusparse,1,0.286891,0.258233,0.287329,1.0,10.456918,10.456933120941402
checkerboard_mpi,cusparse,2,0.482536,0.479986,0.619233,0.5945483860271565,7.189533000000001,12.434305419699255
checkerboard_mpi,cusparse,4,0.888317,0.879467,0.944222,0.3229601594926136,4.06053525,13.508691154171315
checkerboard_nccl,acc,1,0.074675,0.07452,0.074782,1.0,40.174178,40.17408771342484
checkerboard_nccl,acc,2,0.173725,0.173577,0.174483,0.42984602101021735,19.4925145,34.53734350266225
checkerboard_nccl,acc,4,0.268364,0.268127,0.268936,0.27826012430877467,12.863544000000001,44.715386564516855
checkerboard_nccl,cusparse,1,0.089324,0.088681,0.089329,1.0,33.585537,33.58559849536519
checkerboard_nccl,cusparse,2,0.188403,0.188192,0.188556,0.4741113464222969,17.7475265,31.84662664607252
checkerboard_nccl,cusparse,4,0.274496,0.27417,0.275306,0.3254109349498717,12.326345,43.71648402891117
ghost_mpi,acc,1,0.063215,0.063089,0.06328,1.0,47.457267,47.45709088032904
ghost_mpi,acc,2,0.136861,0.134214,0.137841,0.4618919926056363,22.1311695,43.840100539963906
ghost_mpi,acc,3,0.480929,0.479159,0.483559,0.13144351868986898,6.347939,18.713781036286022
ghost_mpi,acc,4,1.147546,1.14477,1.174993,0.05508711633346288,2.8385135,10.457097144689625
ghost_mpi,cusparse,1,0.076014,0.075914,0.07605,1.0,39.466222,39.46641408161655
ghost_mpi,cusparse,2,0.148677,0.147056,0.152752,0.5112693960733671,20.417732,40.355939385379045
ghost_mpi,cusparse,3,0.498372,0.492782,0.500982,0.15252462016325155,6.119226333333334,18.058799451012497
ghost_mpi,cusparse,4,1.204901,1.15812,1.247492,0.0630873407856745,2.74773625,9.959324459021945
ghost_nccl,acc,1,0.06588,0.065734,0.066051,1.0,45.537134,45.537340619307834
ghost_nccl,acc,2,0.158385,0.157907,0.163477,0.4159484799696941,19.154320499999997,37.8823752249266
ghost_nccl,acc,3,0.22901,0.228824,0.233271,0.2876730273787171,13.488586666666667,39.29959390419632
ghost_nccl,acc,4,0.998627,0.606916,1.383077,0.06597057760304897,3.1231015,12.016498652650089
ghost_nccl,cusparse,1,0.080142,0.080002,0.080156,1.0,37.433619,37.433555439095606
ghost_nccl,cusparse,2,0.168125,0.168118,0.168601,0.4766810408921933,17.9868075,35.68773234200743
ghost_nccl,cusparse,3,0.238203,0.237952,0.239342,0.33644412538884905,12.941376666666667,37.78289945970454
ghost_nccl,cusparse,4,0.891599,0.502638,1.151871,0.0898856997372137,3.5163605000000002,13.45896529717956
